% Model:              steadyNS+顶盖驱动流.mph
% Version:            COMSOL 5.6.0.341
% Date:               Sep 15 2022, 14:45
% Dimension:          2
% Nodes:              2601
% Expressions:        3
% Description:        速度场，x 分量, 速度场，y 分量, 压力
% Length unit:        null
% x                       y                        u                        v                        p
0                         0                        0                        0                        0
0.02000000000001001       0                        0                        0                        -1.3654317385416282E-5
0                         0.02                     0                        0                        1.3794604171777158E-5
0.020000000000009812      0.0200000000000002       4.49223377991546E-5      -4.48744543036674E-5     6.751335649100184E-8
0                         0.04                     0                        0                        1.4404546348385842E-4
0.02000000000000961       0.04000000000000019      1.8126120457437047E-6    -6.965080964866891E-5    1.1575063962602324E-4
0.040000000000009805      0                        0                        0                        -1.4250816218291113E-4
0.040000000000009604      0.0200000000000004       6.978653244684376E-5     -1.7443764755227535E-6   -1.153169913929518E-4
0                         0.06                     0                        0                        4.0939117480072635E-4
0.020000000000009416      0.06000000000000019      -8.154879443923614E-5    1.798393303176082E-5     3.3674870021037443E-4
0.0600000000000096        0                        0                        0                        -4.02005708625185E-4
0.06000000000000941       0.0200000000000006       -1.4932939620637706E-5   7.879353583360848E-5     -3.3361318996012973E-4
0                         0.07999999999999999      0                        0                        7.550822813500426E-4
0.02000000000000921       0.08000000000000018      -1.7831392445111238E-4   2.6615176273559875E-4    6.232580647005306E-4
0.0800000000000094        0                        0                        0                        -7.338567486626742E-4
0.08000000000000923       0.020000000000000802     -2.494454556249205E-4    1.6689455718542327E-4    -6.129403404125952E-4
0                         0.09999999999999998      0                        0                        0.0011360761284394697
0.02000000000000901       0.10000000000000016      -2.7822684185139986E-4   6.907056696791796E-4     9.405673025376668E-4
0.10000000000000919       0                        0                        0                        -0.0010915520184361033
0.10000000000000904       0.020000000000001003     -6.372783992160801E-4    2.5028535402429414E-4    -9.183679474011956E-4
0                         0.11999999999999997      0                        0                        0.0015180052018806621
0.020000000000008806      0.12000000000000015      -3.768897320394293E-4    0.0012942309543694875    0.001258182482010403
0.12000000000000899       0                        0                        0                        -0.0014425072625385289
0.12000000000000881       0.020000000000001197     -0.0011660552385710052   3.236301551138333E-4     -0.001221866927767236
0                         0.13999999999999996      0                        0                        0.001873278330749815
0.020000000000008608      0.1400000000000001       -4.7244076251188666E-4   0.0020733449108280796    0.001550436654624461
0.14000000000000878       0                        0                        0                        -0.0017643049785319865
0.14000000000000862       0.02000000000000141      -0.0018165161378891383   3.850176185546114E-4     -0.0015030949246900723
0                         0.15999999999999995      0                        0                        0.002178802748390041
0.020000000000008407      0.16000000000000014      -5.640793681489018E-4    0.0030220468040190298    0.0017951345019719604
0.16000000000000858       0                        0                        0                        -0.0020420252638409576
0.1600000000000084        0.020000000000001603     -0.002567222450920022    4.342343750820779E-4     -0.0017477685051193544
0                         0.17999999999999994      0                        0                        0.0024144563504235822
0.020000000000008202      0.1800000000000001       -6.514223596441884E-4    0.004133108753690612     0.0019726218878436614
0.18000000000000838       0                        0                        0                        -0.0022660834249629
0.1800000000000082        0.0200000000000018       -0.003396880455400624    4.7188628842228126E-4    -0.0019462316454376188
0                         0.19999999999999993      0                        0                        0.0025621411180297474
0.020000000000008015      0.20000000000000004      -7.342108395969364E-4    0.0053986211607864945    0.002065093347838824
0.20000000000000817       0                        0                        0                        -0.0024305759783418953
0.200000000000008         0.020000000000002002     -0.0042854433650808404   4.989127012696182E-4     -0.002092174124267031
0                         0.21999999999999992      0                        0                        0.002605226824030268
0.020000000000007807      0.22000000000000008      -8.121792014989661E-4    0.006810136288710888     0.002056161330885404
0.22000000000000797       0                        0                        0                        -0.002532042979601202
0.22000000000000774       0.020000000000002204     -0.0052145107203761      5.163101928572734E-4     -0.0021816132293817386
0                         0.2399999999999999       0                        0                        0.002528257153996907
0.020000000000007602      0.24000000000000007      -8.850014467944393E-4    0.0083586332888979       0.001930618652567277
0.24000000000000776       0                        0                        0                        -0.0025685718007812134
0.2400000000000076        0.020000000000002408     -0.006167328204690999    5.249779779239179E-4     -0.0022121219357610802
0                         0.2599999999999999       0                        0                        0.002316834819335911
0.020000000000007408      0.26000000000000006      -9.522765963754781E-4    0.010034413010739734     0.0016743455926344678
0.26000000000000756       0                        0                        0                        -0.0025391827293836104
