% Model:              steadyNS+顶盖驱动流.mph
% Version:            COMSOL 5.6.0.341
% Date:               Sep 15 2022, 21:09
% Dimension:          2
% Nodes:              2601
% Expressions:        3
% Description:        速度场，x 分量, 速度场，y 分量, 压力
% Length unit:        null
% x                       y                        u                        v                        p
0                         0                        0                        0                        0
0.02000000000001001       0                        0                        0                        9.372259583823159E-6
0                         0.02                     0                        0                        -9.134070916390416E-6
0.020000000000009812      0.0200000000000002       1.9337661557290842E-4    -1.9314401255511875E-4   1.7593623694295117E-8
0                         0.04                     0                        0                        2.2923859211415585E-5
0.02000000000000961       0.04000000000000019      2.1506410956389886E-4    -5.273814191997608E-4    3.33942935016101E-5
0.040000000000009805      0                        0                        0                        -2.0583033821128426E-5
0.040000000000009604      0.0200000000000004       5.317258254738496E-4     -2.1906495722275155E-4   -3.340875121735298E-5
0                         0.06                     0                        0                        1.3489829041383132E-4
0.020000000000009416      0.06000000000000019      8.806843900176908E-5     -7.594317059868742E-4    1.321970930034715E-4
0.0600000000000096        0                        0                        0                        -1.2482104658649234E-4
0.06000000000000941       0.0200000000000006       8.0028050719029E-4       -1.2218693333517988E-4   -1.2990330169167076E-4
0                         0.07999999999999999      0                        0                        3.17025478726414E-4
0.02000000000000921       0.08000000000000018      -1.32013545684572E-4     -6.793412272865425E-4    2.8734905906713514E-4
0.0800000000000094        0                        0                        0                        -2.910436641380421E-4
0.08000000000000923       0.020000000000000802     8.519975663915342E-4     2.3363283199302313E-5    -2.7944348205369816E-4
0                         0.09999999999999998      0                        0                        5.500369971326836E-4
0.02000000000000901       0.10000000000000016      -4.181537293914673E-4    -1.454390846324521E-4    4.844967627204225E-4
0.10000000000000919       0                        0                        0                        -5.028572261751165E-4
0.10000000000000904       0.020000000000001003     6.31142806204288E-4      1.8170141668222026E-4    -4.714357366696921E-4
0                         0.11999999999999997      0                        0                        8.117395168375292E-4
0.020000000000008806      0.12000000000000015      -7.542565506148252E-4    9.461156827138254E-4     7.039358307346675E-4
0.12000000000000899       0                        0                        0                        -7.486098349067939E-4
0.12000000000000881       0.020000000000001197     1.2612372271203503E-4    3.375750975809421E-4     -6.965949169655631E-4
0                         0.13999999999999996      0                        0                        0.0010761392725673698
0.020000000000008608      0.1400000000000001       -0.0011276972517967054   0.0026723138293230737    9.216627392118727E-4
0.14000000000000878       0                        0                        0                        -0.0010210986268557169
0.14000000000000862       0.02000000000000141      -6.571094187602213E-4    4.87181641321945E-4      -9.486836561779571E-4
0                         0.15999999999999995      0                        0                        0.0013128342041429022
0.020000000000008407      0.16000000000000014      -0.001525803216026877    0.005086932221755605     0.001109078203276505
0.16000000000000858       0                        0                        0                        -0.001316234828399969
0.1600000000000084        0.020000000000001603     -0.0017096608589053889   6.319065438678334E-4     -0.001223799345434453
0                         0.17999999999999994      0                        0                        0.0014870925039285174
0.020000000000008202      0.1800000000000001       -0.0019344094361977836   0.008219418936281038     0.0012332732767788425
0.18000000000000838       0                        0                        0                        -0.0016314947008288557
0.1800000000000082        0.0200000000000018       -0.003025839453728295    7.746479583899075E-4     -0.0015193200207022004
0                         0.19999999999999993      0                        0                        0.0015606931708466994
0.020000000000008015      0.20000000000000004      -0.002337631701446597    0.012072467794292458     0.001257916123310953
0.20000000000000817       0                        0                        0                        -0.0019645876256173403
0.200000000000008         0.020000000000002002     -0.004603918747671464    9.176217507378749E-4     -0.001832859732410357
0                         0.21999999999999992      0                        0                        0.001493543398991233
0.020000000000007807      0.22000000000000008      -0.0027183839789917314   0.016619856526807027     0.0011448379075649064
0.22000000000000797       0                        0                        0                        -0.0023124095546931565
0.22000000000000774       0.020000000000002204     -0.006443984442550783    0.001061249131241359     -0.002161391522110254
0                         0.2399999999999999       0                        0                        0.001245936853513472
0.020000000000007602      0.24000000000000007      -0.0030592931676057446   0.02180549586132995      8.562150352551594E-4
0.24000000000000776       0                        0                        0                        -0.0026703217790095555
0.2400000000000076        0.020000000000002408     -0.008544413024302436    0.0012037546768034204    -0.0025006004692939955
0                         0.2599999999999999       0                        0                        7.812295037822101E-4
0.020000000000007408      0.26000000000000006      -0.0033437800558660043   0.027544139634365507     3.571570879645246E-4
0.26000000000000756       0                        0                        0                        -0.0030317153305704217
0.2600000000000074        0.020000000000002603     -0.01089798391218694     0.001341184712075015     -0.0028444592776819496
0                         0.2799999999999999       0                        0                        6.865927865436893E-5
0.020000000000007206      0.28                     -0.0035571380801147174   0.033723861770861        -3.8156061954457507E-4
0.28000000000000735       0                        0                        0                        -0.0033878142329092052
0.2800000000000072        0.0200000000000028       -0.013488232588442662    0.0014676612123285403    -0.0031850038875336764
0                         0.29999999999999993      0                        0                        -9.139908918228223E-4
0.020000000000007002      0.3                      -0.003687490184527182    0.04021016191550301      -0.0013809063510642446
0.30000000000000715       0                        0                        0                        -0.003727690432965438
0.300000000000007         0.020000000000003        -0.016286393290936424    0.00157576443128956      -0.0035122965400930326
0                         0.31999999999999995      0                        0                        -0.0021781767200884012
0.020000000000006807      0.32                     -0.003726546195427901    0.0468514271637751       -0.0026514302535093214
0.32000000000000695       0                        0                        0                        -0.004038487832826523
0.3200000000000069        0.020000000000003203     -0.019249141316146592    0.0016569973102686772    -0.0038145817057704118
0                         0.33999999999999997      0                        0                        -0.0037230702199513247
0.020000000000006606      0.3400000000000001       -0.003670099493426001    0.053485362529057535     -0.004191781841111884
0.34000000000000674       0                        0                        0                        -0.004305872656417219
0.3400000000000066        0.020000000000003404     -0.02231728885468185     0.0017023233196816925    -0.004078656469485819
0                         0.36                     0                        0                        -0.0055349078934777375
