% Model:              steadyNS.mph
% Version:            COMSOL 5.6.0.341
% Date:               Mar 15 2022, 22:02
% Dimension:          2
% Nodes:              2601
% Expressions:        3
% Description:        速度场，x 分量, 速度场，y 分量, 压力
% Length unit:        null
% x                       y                        u                        v                        p
0                         0                        0                        0                        0.5007272488192959
0.02000000000001001       0                        0                        0                        0.500661980459822
0                         0.019999999999999993     0                        0                        0.5007950829814071
0.020000000000009812      0.020000000000000195     -6.630785307695329E-4    6.563246424598283E-4     0.5007240629198542
0                         0.03999999999999999      0                        0                        0.5009402539922702
0.02000000000000961       0.040000000000000174     -0.0019594556746596096   0.0030712127661153134    0.5008167449445818
0.040000000000009805      0                        0                        0                        0.5005250926503457
0.04000000000000959       0.020000000000000392     -0.002764547766955951    0.0015595607643272462    0.5006150648125836
0                         0.05999999999999998      0                        0                        0.5010254728510235
0.020000000000009416      0.06000000000000016      -0.003280210787075203    0.007697600833622041     0.5008298681270281
0.0600000000000096        0                        0                        0                        0.5004188693492959
0.06000000000000941       0.02000000000000059      -0.005964510392545516    0.001959285839873873     0.5005376300991428
0                         0.07999999999999996      0                        0                        0.5009134971900101
0.02000000000000921       0.08000000000000015      -0.004571091628735983    0.014535794910298397     0.5006497649883889
0.0800000000000094        0                        0                        0                        0.5003830032166878
0.08000000000000923       0.020000000000000795     -0.009531889669749867    0.0019884832099677932    0.5005090296201298
0                         0.09999999999999995      0                        0                        0.5004706177574628
0.02000000000000901       0.10000000000000013      -0.00584469793828836     0.02349599707608946      0.5001404312372948
0.10000000000000919       0                        0                        0                        0.5004090958425438
0.10000000000000904       0.020000000000000996     -0.012991605223840477    0.00184354489278466      0.5005285507426909
0                         0.11999999999999994      0                        0                        0.4994949690009402
0.020000000000008806      0.12000000000000012      -0.007240049454134253    0.03453261343249375      0.4991419303665319
0.12000000000000899       0                        0                        0                        0.5004851880035599
0.12000000000000881       0.0200000000000012       -0.016130320188352924    0.0016366471223031131    0.5005917214408975
0                         0.1399999999999999       0                        0                        0.49775039603142973
0.020000000000008608      0.14000000000000004      -0.008583820944639277    0.04752122869026806      0.4972631437492797
0.14000000000000878       0                        0                        0                        0.5006041256070937
0.14000000000000862       0.020000000000001402     -0.018874287245579994    0.0014121907336805911    0.5006956368544885
0                         0.1599999999999999       0                        0                        0.4921505004582983
