% Model:              steadyNS.mph
% Version:            COMSOL 5.6.0.341
% Date:               Mar 15 2022, 21:59
% Dimension:          2
% Nodes:              2601
% Expressions:        3
% Description:        速度场，x 分量, 速度场，y 分量, 压力
% Length unit:        null
% x                       y                        u                        v                        p
0                         0                        0                        0                        0.5379251369071483
0.02000000000001001       0                        0                        0                        0.5377033939282962
0                         0.019999999999999993     0                        0                        0.5381526408596479
0.020000000000009812      0.020000000000000195     -0.001297912533864657    0.0012871074675348596    0.5379161906546422
0                         0.03999999999999999      0                        0                        0.5385740569147074
0.02000000000000961       0.040000000000000174     -0.0033501854941682644   0.005523874724093369     0.5381766093853436
0.040000000000009805      0                        0                        0                        0.5372955636518632
0.04000000000000959       0.020000000000000392     -0.005115603769766656    0.0028105240177599563    0.5376086118078716
0                         0.05999999999999998      0                        0                        0.5387116971945922
0.020000000000009416      0.06000000000000016      -0.005136114099230294    0.012995883140887426     0.5381161721755435
0.0600000000000096        0                        0                        0                        0.5370737393656835
0.06000000000000941       0.02000000000000059      -0.010739134223969698    0.0034335192402030383    0.5374795919123962
0                         0.07999999999999996      0                        0                        0.5381857815453825
0.02000000000000921       0.08000000000000015      -0.006606187381758343    0.023225411661033632     0.5374327298167616
0.0800000000000094        0                        0                        0                        0.5371609334827836
0.08000000000000923       0.020000000000000795     -0.016879376507506608    0.0034159240518574358    0.5375826231033073
0                         0.09999999999999995      0                        0                        0.5366828588018753
0.02000000000000901       0.10000000000000013      -0.007810728220509891    0.035646640701088236     0.5358131580154215
0.10000000000000919       0                        0                        0                        0.5375198728925348
0.10000000000000904       0.020000000000000996     -0.02270370801273596     0.003084108574828651     0.537909787085996
0                         0.11999999999999994      0                        0                        0.533749138783662
0.020000000000008806      0.12000000000000012      -0.008880092298826038    0.04973664287728066      0.5328968432331821
0.12000000000000899       0                        0                        0                        0.538097346036785
0.12000000000000881       0.0200000000000012       -0.027826731773917996    0.0026370922544841128    0.5384337445980699
0                         0.1399999999999999       0                        0                        0.528674317322795
0.020000000000008608      0.14000000000000004      -0.009532608438662705    0.06460512166558569      0.5278140309233492
0.14000000000000878       0                        0                        0                        0.5388515758808646
0.14000000000000862       0.020000000000001402     -0.03212281827814465     0.0021671721566761375    0.5391282266458325
0                         0.1599999999999999       0                        0                        0.5136269375975563
0.02000000000000841       0.16000000000000006      -0.007698572867277725    0.07052586734365024      0.5193643332628736
0.16000000000000858       0                        0                        0                        0.5397506372350076
0.1600000000000084        0.0200000000000016       -0.03558449328501356     0.0017113597960411327    0.5399685289669178
0                         0.17999999999999985      0                        0                        0.49638064064801757
0.02000000000000821       0.18000000000000002      0.1032312503391459       0.02371361867542472      0.5095282561273505
0.18000000000000838       0                        0                        0                        0.5407665332688825
0.1800000000000082        0.020000000000001798     -0.038252759904793474    0.0012846584214739067    0.5409296090357741
0                         0.2                      0.5                      0                        0.5041029698707153
0.02000000000000801       0.20000000000000018      0.5005478885800739       -0.02121059765211073     0.5142842785795019
0.20000000000000817       0                        0                        0                        0.5418719660974216
0.200000000000008         0.020000000000001995     -0.04018896110449768     8.942896392381753E-4     0.5419853110435696
0                         0.22                     1                        0                        0.512468394533255
0.02000000000000781       0.22000000000000014      0.9435153014821348       0.006014624146848989     0.5250339991549793
0.22000000000000797       0                        0                        0                        0.5430397833846113
0.22000000000000774       0.020000000000002197     -0.04146404933032338     5.443064069272033E-4     0.5431089207416455
0                         0.24000000000000005      1                        0                        0.49921026040913175
0.02000000000000761       0.2400000000000002       1.0060310789851712       0.030516314360477814     0.4969074506444254
0.24000000000000776       0                        0                        0                        0.544243661265233
0.2400000000000076        0.020000000000002398     -0.042153846879572396    2.369859948097741E-4     0.5442742633265746
0                         0.26000000000000006      1                        0                        0.4686116640953002
0.020000000000007408      0.26000000000000023      0.9992826091409815       0.028764252966346257     0.46913023589627
0.26000000000000756       0                        0                        0                        0.5454590514165689
